v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,,,,,,,,,,,,,,,,,,,,1,,[Nichibei] Extend the Recurring End Date,1,,
,Admin verifies Extend Recurrence button visible on recurring lesson schedule,"AC 01.1 / AC 01.3 - Decision Table: Verify button is present for all recurring schedule types (daily, weekly, custom).","Admin user has created:
- A daily recurring lesson schedule
- A weekly recurring lesson schedule
- A custom recurring lesson schedule",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule detail page of the daily recurring lesson""
2. ""Open Lesson Schedule detail page of the weekly recurring lesson""
3. ""Open Lesson Schedule detail page of the custom recurring lesson""
","1. ""User sees ""Extend Recurrence"" button""
2. ""User sees ""Extend Recurrence"" button""
3. ""User sees ""Extend Recurrence"" button""
","1. """"
2. """"
3. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend Recurrence button hidden for one-time lesson schedule,AC 01.3 - Decision Table: Button must not appear when is_recurring = FALSE (one-time lesson).,Admin user has created a one-time lesson schedule,,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule detail page of the one-time lesson""
2. ""Inspect action buttons area""
","1. ""User does NOT see ""Extend Recurrence"" button""
2. ""Only applicable action buttons are shown (no Extend Recurrence)""
","1. """"
2. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Extend Recurrence button hidden for course schedule lesson,AC 01.3 - Decision Table: Button must not appear for course schedule lessons.,Admin user has created a course schedule lesson,,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule detail page of the course schedule lesson""
2. ""Inspect action buttons area""
","1. ""User does NOT see ""Extend Recurrence"" button""
2. ""Only applicable action buttons are shown (no Extend Recurrence)""
","1. """"
2. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Click Extend Recurrence button opens Lesson Creation Form,AC 01.1 - Verify clicking the button opens the Lesson Creation Form with correct initial state.,Admin user has created a daily recurring lesson schedule,,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule detail page""
2. ""Click ""Extend Recurrence"" button""
","1. ""User sees ""Extend Recurrence"" button""
2. ""Lesson Creation Form opens with fields pre-filled according to the Lesson Schedule""
","1. """"
2. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify pre-filled editable fields from Lesson Schedule,"AC 01.2 - Equivalence Partitioning: Verify Start Time, End Time, Duration, Teaching Medium, Lesson Name are pre-filled and editable.","Admin has created a recurring lesson schedule with:
- Start Time = 09:00
- End Time = 10:00
- Duration = 60 min
- Teaching Medium = Offline
- Lesson Name = ""Math Recurring""",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Verify pre-filled values: Start Time, End Time, Duration, Teaching Medium, Lesson Name""
3. ""Edit Start Time to 10:00, End Time to 11:00, Lesson Name to ""Math Extended""""
","1. ""Lesson Creation Form opens""
2. ""Start Time = 09:00, End Time = 10:00, Duration = 60 min, Teaching Medium = Offline, Lesson Name = ""Math Recurring""""
3. ""Fields accept new values successfully""
","1. """"
2. ""Source: Lesson Schedule""
3. ""New Start Time = 10:00, New End Time = 11:00, New Lesson Name = ""Math Extended""""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify Date auto-calculated as current end date + 7 days,AC 01.2 - BVA: Date field must equal Lesson Schedule current end date + 7 days and be non-editable.,Admin has created a recurring lesson schedule with End Date = 2026-03-10 (Tuesday),,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Check the Date field value""
3. ""Attempt to edit the Date field""
","1. ""Lesson Creation Form opens""
2. ""Date = 2026-03-17 (Tuesday, end date + 7 days)""
3. ""Date field is locked / non-editable""
","1. """"
2. ""End Date = 2026-03-10, Expected Date = 2026-03-17""
3. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify Lesson Code auto-calculated as last existing code + 1,AC 01.2 - BVA: Lesson Code = last existing lesson code + 1.,Admin has created a recurring lesson schedule with last lesson having lesson code = 10,,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Check the Lesson Code field""
","1. ""Lesson Creation Form opens""
2. ""Lesson Code = 11 (last code 10 + 1)""
","1. """"
2. ""Last existing lesson code = 10, Expected = 11""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify Day of Week auto-calculated from Date,AC 01.2 - Verify Day of the Week is automatically derived from the auto-calculated Date.,Admin has created a recurring lesson schedule with End Date = 2026-03-13 (Friday),,,medium,normal,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Check Day of the Week field""
","1. ""Lesson Creation Form opens, Date = 2026-03-20""
2. ""Day of the Week = Friday (matching 2026-03-20)""
","1. ""End Date = 2026-03-13 (Friday)""
2. ""Expected: Friday""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify Lesson Type defaults to Regular and Lesson Capacity is blank,"AC 01.2 - Equivalence Partitioning: Lesson Type = Regular (editable), Lesson Capacity = blank (optional).",Admin has created a recurring lesson schedule,,,medium,normal,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Check Lesson Type field""
3. ""Check Lesson Capacity field""
4. ""Change Lesson Type to a different value""
","1. ""Lesson Creation Form opens""
2. ""Lesson Type = Regular""
3. ""Lesson Capacity is blank""
4. ""Lesson Type field accepts the new value""
","1. """"
2. ""Default = Regular""
3. ""Optional field""
4. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,Verify Classroom is searchable dropdown,AC 01.2 - Verify Classroom field is a searchable dropdown showing available classrooms.,"Admin has created a recurring lesson schedule
Multiple classrooms available at the location: Room A, Room B, Room C",,,medium,normal,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Click on Classroom dropdown""
3. ""Type ""Room A"" in the search field""
4. ""Select Room A from the filtered result""
","1. ""Lesson Creation Form opens""
2. ""Dropdown shows available classrooms list""
3. ""Dropdown filters to show only ""Room A""""
4. ""Room A is selected as classroom""
","1. """"
2. ""Available: Room A, Room B, Room C""
3. ""Search keyword = ""Room A""""
4. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,"Verify locked fields cannot be edited (Location, Academic Year, Course, Class, Teaching Method)",AC 01.2 - Negative Testing: Attempt to edit each locked field; all must remain read-only.,"Admin has created a recurring lesson schedule with:
- Location = Tokyo
- Academic Year = 2025-2026
- Course = Mathematics
- Class = Class A
- Teaching Method = Group",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Verify Location field shows ""Tokyo"" and attempt to edit""
3. ""Verify Academic Year field shows ""2025-2026"" and attempt to edit""
4. ""Verify Course field shows ""Mathematics"" and attempt to edit""
5. ""Verify Class field shows ""Class A"" and attempt to edit""
6. ""Verify Teaching Method field shows ""Group"" and attempt to edit""
","1. ""Lesson Creation Form opens""
2. ""Location = ""Tokyo"", field is locked (non-editable)""
3. ""Academic Year = ""2025-2026"", field is locked""
4. ""Course = ""Mathematics"", field is locked""
5. ""Class = ""Class A"", field is locked""
6. ""Teaching Method = ""Group"", field is locked""
","1. """"
2. ""Source: Lesson Schedule""
3. ""Source: Lesson Schedule""
4. ""Source: Lesson Schedule""
5. ""Source: Lesson Schedule""
6. ""Source: Lesson Schedule""
",,,1,,[Nichibei] Extend the Recurring End Date,,,
,"Verify Recurring Settings inherited and non-editable (Recurrence Type, Days, Skip Closed Dates)","AC 01.2 - Negative Testing: Recurrence Type, Recurrence Days, and Skip Closed Dates must display saved values and be non-editable.","Admin has created a custom recurring lesson with:
- Recurrence Type = Custom
- Recurrence Days = Monday, Wednesday, Friday
- Skip Closed Dates = checked",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Lesson Schedule, click ""Extend Recurrence""""
2. ""Check Recurrence Type field""
3. ""Check Recurrence Days field""
4. ""Check Skip Closed Dates field""
5. ""Attempt to edit Recurrence Type""
6. ""Attempt to edit Skip Closed Dates""
","1. ""Lesson Creation Form opens with Recurring Settings section""
2. ""Recurrence Type = Custom (displayed, not editable)""
3. ""Recurrence Days = Monday, Wednesday, Friday (displayed, not editable)""
4. ""Skip Closed Dates = checked (displayed, not editable)""
5. ""Field is locked, cannot be changed""
6. ""Field is locked, cannot be changed""
","1. """"
2. ""Source: Lesson Schedule""
3. ""Source: Lesson Schedule""
4. ""Source: Lesson Schedule""
5. """"
6. """"
",,,1,,[Nichibei] Extend the Recurring End Date,,,
