v2.id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,,,,,,,,,,,,,,,,,,,,2517,19,US01: Activity Event Status Picklist,1,,
,Activity Event – Status Picklist – Draft value available in Status field,"AC 01.1 — Equivalence Partitioning — Draft is a valid picklist value in the Activity Event Status field.","- Admin user logged in to Salesforce
- Navigate to Activity Event object",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Activity Event creation form""
2. ""Click on the Status picklist field""
3. ""Inspect the available picklist values""
","1. ""Activity Event creation form loads""
2. ""Status picklist dropdown opens""
3. ""'Draft' is listed as an available option alongside Published""
","1. """"
2. """"
3. """"
",,,2517,19,US01: Activity Event Status Picklist,,,
,Activity Event – Create Form – Draft and Published selectable as status,"AC 01.2 — Equivalence Partitioning — User can select either Draft or Published when creating a new Activity Event.","- Admin user logged in to Salesforce
- Navigate to Activity Event creation form",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open Activity Event creation form""
2. ""Click on the Status picklist field""
3. ""Select 'Draft' from the picklist""
4. ""Re-open the Status picklist field""
5. ""Select 'Published' from the picklist""
","1. ""Activity Event creation form loads""
2. ""Status picklist dropdown opens with Draft and Published options""
3. ""Status field displays 'Draft'""
4. ""Status picklist dropdown opens again""
5. ""Status field displays 'Published'""
","1. """"
2. """"
3. """"
4. """"
5. """"
",,,2517,19,US01: Activity Event Status Picklist,,,
,Activity Event – Create Form – Default status is Published,"AC 01.3 — Decision Table — When opening a new Activity Event creation form the Status field defaults to Published.","- Admin user logged in to Salesforce",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Navigate to Activity Event list page""
2. ""Click 'New' to open the creation form""
3. ""Observe the Status field value before any user interaction""
","1. ""Activity Event list page loads""
2. ""Activity Event creation form opens""
3. ""Status field shows 'Published' as the default value""
","1. """"
2. """"
3. """"
",,,2517,19,US01: Activity Event Status Picklist,,,
,,,,,,,,,,,,,,,,,,,,2518,19,US02: Draft Event Operations,1,,
,Activity Event – Draft – Mandatory field validation enforced on save,"AC 02.1 — Negative Testing — Saving a Draft event with missing mandatory fields triggers validation errors.","- Admin user logged in to Salesforce
- Activity Event creation form open
- Status set to Draft",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Set Status to 'Draft' on the creation form""
2. ""Leave all mandatory fields empty""
3. ""Click 'Save'""
4. ""Observe the validation messages""
","1. ""Status field shows 'Draft'""
2. ""Mandatory fields are blank""
3. ""Save attempt is made""
4. ""Validation error messages appear for each mandatory field (same as Published)""
","1. """"
2. """"
3. """"
4. """"
",,,2518,19,US02: Draft Event Operations,,,
,Activity Event – Draft – All mandatory fields filled saves as Draft,"AC 02.1 — Equivalence Partitioning — Saving a Draft event with all mandatory fields filled creates the event in Draft status.","- Admin user logged in to Salesforce
- Activity Event creation form open",,,high,critical,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Set Status to 'Draft'""
2. ""Fill in all mandatory fields with valid data""
3. ""Click 'Save'""
4. ""Open the saved Activity Event record""
","1. ""Status field shows 'Draft'""
2. ""All mandatory fields populated""
3. ""Event is saved without errors""
4. ""Activity Event detail page shows Status = Draft""
","1. """"
2. """"
3. """"
4. """"
",,,2518,19,US02: Draft Event Operations,,,
,Activity Event – Draft – Add and remove participants,"AC 02.2 — CRUD Testing — Participants can be added to and removed from a Draft Activity Event.","- Admin user logged in to Salesforce
- A Draft Activity Event already exists",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the Draft Activity Event record""
2. ""Navigate to the Participants related list""
3. ""Add a participant to the event""
4. ""Confirm the participant appears in the list""
5. ""Remove the participant from the event""
6. ""Confirm the participant is no longer in the list""
","1. ""Activity Event detail page opens with Status = Draft""
2. ""Participants related list is displayed""
3. ""Participant is added without errors""
4. ""Participant name appears in the related list""
5. ""Participant is removed without errors""
6. ""Participant no longer appears in the related list""
","1. """"
2. """"
3. """"
4. """"
5. """"
6. """"
",,,2518,19,US02: Draft Event Operations,,,
,Activity Event – Draft – Delete operation allowed,"AC 02.3 — State Transition Testing — A Draft Activity Event can be deleted.","- Admin user logged in to Salesforce
- A Draft Activity Event already exists",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the Draft Activity Event record""
2. ""Click 'Delete' action""
3. ""Confirm the deletion in the dialog""
4. ""Search for the deleted event in the list view""
","1. ""Activity Event detail page opens with Status = Draft""
2. ""Deletion confirmation dialog appears""
3. ""Event is deleted""
4. ""Event no longer appears in the list view""
","1. """"
2. """"
3. """"
4. """"
",,,2518,19,US02: Draft Event Operations,,,
,Activity Event – Draft – Edit operation allowed,"AC 02.4 — CRUD Testing — A Draft Activity Event can be edited and changes are saved.","- Admin user logged in to Salesforce
- A Draft Activity Event already exists with Event Name = 'Test Draft Event'",,,high,major,functional,undefined,is-not-automated,draft,no,unknown,classic,"1. ""Open the Draft Activity Event record""
2. ""Click 'Edit' to enter edit mode""
3. ""Change the Event Name to 'Updated Draft Event'""
4. ""Click 'Save'""
5. ""Observe the updated record""
","1. ""Activity Event detail page opens with Status = Draft""
2. ""Record enters edit mode""
3. ""Event Name field updated""
4. ""Changes saved without errors""
5. ""Event Name shows 'Updated Draft Event' and Status remains Draft""
","1. """"
2. """"
3. ""Event Name = 'Updated Draft Event'""
4. """"
5. """"
",,,2518,19,US02: Draft Event Operations,,,
